ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT;STS_TODO;SSV_TODO
A 51 RZ_Liege_r Paradis 88_3 LU 22 BU_Diade;0;0;0;1;0;0.0;0;0;0;0.0;0;0.0;0;0.0;0;0
A22_RZ-veldekesingel st servaasstraat Hasselt;0;0;0;2;0;0.0;2;0;0;0.0;0;0.0;10;0.0;0;0
A51_IZ_14BU+3SU_Féronstrée 54 à Liège;0;0;2;0;0;0.0;15;0;1;0.0;1;50.0;1;0.0;0;1
A51_RZ_Home Invest Belgium rue Léopold 2-4-6-8 Liège;0;0;4;0;0;0.0;0;0;0;0.0;0;0.0;0;0.0;0;0
Cavell court;0;0;0;2;0;0.0;2;0;0;0.0;0;0.0;2;0.0;0;0
HvanVeldekesingel;0;0;0;1;0;0.0;1;0;0;0.0;0;0.0;4;0.0;0;0
RESIDENTIE Hampton Beach - Knokke;0;0;1;0;0;0.0;12;0;0;0.0;0;0.0;1;0.0;0;0
RZ_1MDU_Greenfield dans Brownfiled rue Méan 26 Liège;0;0;1;0;0;0.0;13;0;0;0.0;0;0.0;1;0.0;0;0
RZ_FTTH_DIST_1 BU _ 7 LU_rue de Fer 90-92_Rue Moncrabeau 17_ Namur;0;0;3;0;0;0.0;9;1;1;100.0;1;33.33;1;0.0;0;2
RZ_FTTH_DIST_19BU_3SU_Rue Rogier76-82_ Namur_Conservatoire + salle de spectacle;0;0;0;2;0;0.0;0;0;0;0.0;0;0.0;1;0.0;0;0
RZ_FTTH_DIST_3 MDU pour 16 LU_Bd Frère Orban 45-46-47 Liège;0;0;0;3;0;0.0;0;0;0;0.0;0;0.0;0;0.0;0;0
RZ_MDU_rue du Plan Incliné (entre 29 et 61)_Liège;0;0;0;1;0;0.0;0;0;0;0.0;0;0.0;0;0.0;0;0
Saint-Nicolas;0;0;1;1;2;0.0;12;0;1;0.0;1;100.0;2;100.0;0;0
W01-C-Charleroi-FH01;0;0;194;141;335;0.0;506;49;71;69.01;167;86.08;149;44.48;186;27
W01-C-Charleroi-FH02;0;0;303;200;503;0.0;982;52;86;60.47;260;85.81;292;58.05;211;43
W01-C-Charleroi-FH03;242;63;287;158;445;84.32;1083;95;166;57.23;287;100.0;355;79.78;90;0
W01-C-Charleroi-FH04;0;0;152;114;266;0.0;597;32;65;49.23;128;84.21;251;94.36;15;24
W01-C-Charleroi-FH05;0;0;58;31;89;0.0;322;15;40;37.5;58;100.0;49;55.06;40;0
W01-C-Namur-FH01;0;0;813;1248;2061;0.0;5531;73;182;40.11;752;92.5;2046;99.27;15;61
W01-C-Namur-FH03;1;0;352;1417;1769;0.28;2168;86;109;78.9;336;95.45;1778;100.51;-9;16
W01-C-Namur-FH04;0;0;732;1559;2291;0.0;3832;49;197;24.87;672;91.8;2334;101.88;-43;60
W01-C-Namur-FH06;427;96;541;325;866;78.93;4179;225;321;70.09;534;98.71;919;106.12;-53;7
W01-C-Namur-FH07;553;77;647;216;863;85.47;3622;225;295;76.27;454;70.17;848;98.26;15;193
W01-C-Namur-FH08;0;0;509;811;1320;0.0;4286;0;0;0.0;148;29.08;1327;100.53;-7;361
W01-C-Namur-FH09;0;0;693;1379;2072;0.0;4752;0;0;0.0;43;6.2;2073;100.05;-1;650
W01-C-Roeselare-FH01;0;0;365;1003;1368;0.0;2912;0;73;0.0;150;41.1;1432;104.68;-64;215
W01-C-Roeselare-FH02;14;0;242;1630;1872;5.79;2854;3;65;4.62;196;80.99;1872;100.0;0;46
W01-C-Roeselare-FH03;241;15;295;947;1242;81.69;2694;93;139;66.91;287;97.29;357;28.74;885;8
W01-C-Roeselare-FH04;136;64;136;1444;1580;100.0;2230;50;50;100.0;136;100.0;217;13.73;1363;0
W01-C-Roeselare-FH05;55;7;67;977;1044;82.09;1496;20;21;95.24;66;98.51;105;10.06;939;1
W02-D-Evere-FH01;513;8;558;813;1371;91.94;5415;144;217;66.36;558;100.0;1306;95.26;65;0
W02-D-Evere-FH02;34;0;34;0;0;100.0;1715;16;34;47.06;34;100.0;34;0.0;0;0
W02-D-Hasselt-FH01;247;2;300;684;984;82.33;2013;2;94;2.13;299;99.67;357;36.28;627;1
W02-D-Hasselt-FH02;379;14;416;747;1163;91.11;3208;62;139;44.6;416;100.0;592;50.9;571;0
W02-D-Leuven-FH01;192;45;200;769;969;96.0;2095;58;63;92.06;198;99.0;435;44.89;534;2
W02-D-Leuven-FH02;131;7;701;851;1552;18.69;3820;0;37;0.0;493;70.33;1515;97.62;37;208
W02-D-Leuven-FH03;468;13;523;1046;1569;89.48;4510;58;177;32.77;521;99.62;648;41.3;921;2
W02-D-Liege-FH01;360;176;449;537;986;80.18;1011;68;114;59.65;258;57.46;713;72.31;273;191
W02-D-Liege-FH02;288;12;409;90;499;70.42;307;66;89;74.16;166;40.59;323;64.73;176;243
W02-D-Liege-FH03;3;1;363;88;451;0.83;1708;81;119;68.07;242;66.67;303;67.18;148;121
W02-D-Uccle-FH01;0;0;482;296;778;0.0;3462;79;149;53.02;465;96.47;734;94.34;44;17
W02-D-Uccle-FH02;0;0;511;407;918;0.0;4335;112;198;56.57;477;93.35;823;89.65;95;34
W03-C-Antwerpen-West-FH01;388;35;437;150;587;88.79;3011;92;220;41.82;437;100.0;576;98.13;11;0
W03-C-Antwerpen-West-FH02;0;0;677;284;961;0.0;3306;0;0;0.0;9;1.33;960;99.9;1;668
W03-C-Antwerpen-West-FH03;0;0;324;133;457;0.0;1619;0;8;0.0;51;15.74;363;79.43;94;273
W03-C-Antwerpen-West-FH04;668;6;807;454;1261;82.78;4588;29;193;15.03;781;96.78;1234;97.86;27;26
W03-C-Antwerpen-West-FH05;0;0;737;1004;1741;0.0;5172;0;0;0.0;0;0.0;0;0.0;0;0
W03-C-Antwerpen-West-FH06;0;0;345;350;695;0.0;2073;3;61;4.92;264;76.52;685;98.56;10;81
W03-C-Antwerpen-West-FH07;506;2;628;261;889;80.57;3289;41;158;25.95;628;100.0;854;96.06;35;0
W03-C-Antwerpen-West-FH08;0;0;328;130;458;0.0;1824;0;0;0.0;0;0.0;458;100.0;0;0
W03-C-Antwerpen-West-FH09;0;0;326;232;558;0.0;2839;0;0;0.0;0;0.0;558;100.0;0;0
W03-C-Antwerpen-West-FH10;0;0;1062;848;1910;0.0;5653;0;0;0.0;0;0.0;93;4.87;1817;0
W03-C-Antwerpen-West-FH11;0;0;447;144;591;0.0;2771;0;16;0.0;17;3.8;586;99.15;5;430
W03-C-Charleroi-FH06;0;0;104;526;630;0.0;1034;0;0;0.0;0;0.0;630;100.0;0;0
W03-C-Charleroi-FH07;0;0;0;0;0;0.0;0;0;0;0.0;0;0.0;1749;0.0;0;0
W03-C-Charleroi-FH08;0;0;193;1000;1193;0.0;1829;0;0;0.0;0;0.0;1193;100.0;0;0
W03-C-Charleroi-FH09;0;0;394;1391;1785;0.0;2491;0;0;0.0;0;0.0;1785;100.0;0;0
W03-C-Charleroi-FH10;0;0;327;1878;2205;0.0;3527;23;61;37.7;306;93.58;2144;97.23;61;21
W03-C-Charleroi-FH11;0;0;294;1629;1923;0.0;3168;27;39;69.23;264;89.8;1931;100.42;-8;30
W03-C-Charleroi-FH12;0;0;183;1630;1813;0.0;2699;0;34;0.0;155;84.7;1808;99.72;5;28
W03-C-Charleroi-FH13;0;0;339;990;1329;0.0;2408;0;1;0.0;3;0.88;1324;99.62;5;336
W03-C-Charleroi-FH14;0;0;182;863;1045;0.0;1470;0;0;0.0;0;0.0;1045;100.0;0;0
W03-C-Charleroi-FH15;0;0;230;1233;1463;0.0;1955;0;0;0.0;0;0.0;1463;100.0;0;0
W03-C-Charleroi-FH17;0;0;172;1657;1829;0.0;2313;0;0;0.0;0;0.0;1835;100.33;-6;0
W03-C-Charleroi-FH18;0;0;87;953;1040;0.0;1182;0;0;0.0;0;0.0;1040;100.0;0;0
W03-C-Charleroi-FH19;0;0;573;312;885;0.0;2607;18;93;19.35;510;89.01;540;61.02;345;63
W03-C-Knokke-Heist-FH01;470;3;497;417;914;94.57;3556;82;277;29.6;497;100.0;557;60.94;357;0
W03-C-Knokke-Heist-FH03;0;0;709;159;868;0.0;4950;0;0;0.0;0;0.0;868;100.0;0;0
W03-C-Knokke-Heist-FH04;7;0;353;146;499;1.98;3569;0;254;0.0;275;77.9;500;100.2;-1;78
W03-C-Knokke-Heist-FH05;0;0;379;18;397;0.0;2685;0;0;0.0;0;0.0;397;100.0;0;0
W03-C-Knokke-Heist-FH06;1;0;508;21;529;0.2;4561;0;49;0.0;80;15.75;529;100.0;0;428
W03-C-Knokke-Heist-FH08;0;0;129;334;463;0.0;1611;0;0;0.0;0;0.0;463;100.0;0;0
W03-C-Knokke-Heist-FH09;323;1;383;94;477;84.33;4358;10;309;3.24;382;99.74;471;98.74;6;1
W03-C-Knokke-Heist-FH10;0;0;259;439;698;0.0;3070;0;0;0.0;0;0.0;698;100.0;0;0
W03-C-Knokke-Heist-FH11;313;0;472;1313;1785;66.31;3681;18;182;9.89;472;100.0;1784;99.94;1;0
W03-C-Knokke-Heist-FH12;0;0;75;703;778;0.0;1449;0;0;0.0;0;0.0;0;0.0;0;0
W03-C-Liege-FH04;496;52;571;320;891;86.87;4122;251;317;79.18;541;94.75;763;85.63;128;30
W03-C-Liege-FH05;0;0;425;351;776;0.0;3137;89;154;57.79;415;97.65;799;102.96;-23;10
W03-C-Liege-FH06;0;0;171;60;231;0.0;2247;32;49;65.31;67;39.18;246;106.49;-15;104
W03-C-Liege-FH07;0;0;795;305;1100;0.0;4964;98;138;71.01;707;88.93;1125;102.27;-25;88
W03-C-Liege-FH08;0;0;722;277;999;0.0;4491;23;116;19.83;587;81.3;998;99.9;1;135
W03-C-Liege-FH09;0;0;435;316;751;0.0;2654;0;94;0.0;300;68.97;753;100.27;-2;135
W03-C-Liege-FH10;0;1;567;664;1231;0.0;3112;0;0;0.0;0;0.0;1231;100.0;0;0
W03-C-Liege-FH11;0;0;738;613;1351;0.0;4529;0;0;0.0;444;60.16;1471;108.88;-120;294
W03-C-Liege-FH12;0;0;633;2116;2749;0.0;4308;0;1;0.0;478;75.51;2752;100.11;-3;155
W03-C-Liege-FH13;0;0;614;1991;2605;0.0;4028;0;0;0.0;0;0.0;2605;100.0;0;0
W03-C-Liege-FH14;0;0;761;1297;2058;0.0;4695;0;0;0.0;0;0.0;2058;100.0;0;0
W03-C-Liege-FH15;0;0;1043;499;1542;0.0;5581;0;0;0.0;0;0.0;1542;100.0;0;0
W03-C-Liege-FH16;0;0;501;139;640;0.0;2519;1;86;1.16;267;53.29;196;30.63;444;234
W03-C-Liege-FH17;0;0;121;53;174;0.0;910;17;45;37.78;47;38.84;48;27.59;126;74
W03-C-Schaerbeek-FH01;0;0;494;521;1015;0.0;3087;0;0;0.0;0;0.0;0;0.0;0;0
W03-C-Schaerbeek-FH02;0;0;879;207;1086;0.0;4632;0;0;0.0;0;0.0;0;0.0;0;0
W03-C-Schaerbeek-FH03;0;0;386;73;459;0.0;2537;0;0;0.0;0;0.0;0;0.0;0;0
W03-C-Schaerbeek-FH04;0;0;807;407;1214;0.0;3788;0;12;0.0;769;95.29;1213;99.92;1;38
W03-C-Schaerbeek-FH10;0;0;853;361;1214;0.0;3886;0;0;0.0;0;0.0;1214;100.0;0;0
W03-C-Uccle-FH03;0;0;1171;911;2082;0.0;7074;119;294;40.48;1137;97.1;2093;100.53;-11;34
W03-C-Uccle-FH04;0;0;439;814;1253;0.0;4684;56;192;29.17;431;98.18;1253;100.0;0;8
W03-C-Uccle-FH05;0;0;928;1227;2155;0.0;6723;0;98;0.0;597;64.33;2155;100.0;0;331
W03-C-Uccle-FH07;0;0;988;1572;2560;0.0;6331;0;0;0.0;0;0.0;2634;102.89;-74;0
W03-C-Uccle-FH08;0;0;672;1983;2655;0.0;5337;0;0;0.0;0;0.0;2078;78.27;577;0
W03-D-Brugge-FH01;0;0;668;2256;2924;0.0;5588;0;0;0.0;287;42.96;2892;98.91;32;381
W03-D-Brugge-FH02;221;0;256;2220;2476;86.33;3464;21;27;77.78;245;95.7;2460;99.35;16;11
W03-D-Hasselt-FH04;173;15;174;821;995;99.43;1684;19;59;32.2;174;100.0;982;98.69;13;0
W03-D-Hasselt-FH05;0;0;38;295;333;0.0;506;1;15;6.67;19;50.0;309;92.79;24;19
W03-D-Hasselt-FH06;14;4;78;547;625;17.95;1259;0;17;0.0;46;58.97;625;100.0;0;32
W03-D-Hasselt-FH08;0;0;115;1052;1167;0.0;1553;0;0;0.0;0;0.0;1167;100.0;0;0
W03-D-Leuven-FH04;0;0;151;536;687;0.0;1784;0;16;0.0;117;77.48;687;100.0;0;34
W03-D-Leuven-FH05;0;0;318;812;1130;0.0;2943;0;0;0.0;0;0.0;1130;100.0;0;0
W03-D-MONS-FH06;0;0;177;905;1082;0.0;1732;0;0;0.0;0;0.0;1082;100.0;0;0
W03-D-MONS-FH07;0;0;168;1087;1255;0.0;1883;0;0;0.0;0;0.0;1255;100.0;0;0
W03-D-Mechelen-FH01;294;9;457;580;1037;64.33;2504;8;95;8.42;457;100.0;1026;98.94;11;0
W03-D-Mechelen-FH02;306;23;579;949;1528;52.85;3942;51;217;23.5;531;91.71;1481;96.92;47;48
W03-D-Mechelen-FH03;37;10;39;104;143;94.87;284;40;46;86.96;39;100.0;139;97.2;4;0
W03-D-Mons-FH01;0;0;342;432;774;0.0;1928;0;0;0.0;0;0.0;774;100.0;0;0
W03-D-Mons-FH02;0;0;284;379;663;0.0;2045;0;0;0.0;0;0.0;663;100.0;0;0
W03-D-Mons-FH03;0;0;268;282;550;0.0;1780;0;0;0.0;0;0.0;550;100.0;0;0
W03-D-Mons-FH04;0;0;407;639;1046;0.0;2720;0;0;0.0;0;0.0;1046;100.0;0;0
W03-D-Mons-FH05;0;0;489;479;968;0.0;3099;0;0;0.0;0;0.0;968;100.0;0;0
W03-D-Sint-Niklaas-FH01;572;31;820;673;1493;69.76;2957;320;444;72.07;820;100.0;1471;98.53;22;0
W03-D-Sint-Niklaas-FH02;307;1;528;1044;1572;58.14;3066;33;152;21.71;528;100.0;1543;98.16;29;0
W04-C-Evere-FH03;0;0;832;823;1655;0.0;5692;0;0;0.0;0;0.0;1650;99.7;5;0
W04-C-Evere-FH04;0;0;1024;1187;2211;0.0;6044;0;0;0.0;0;0.0;2270;102.67;-59;0
W04-C-Evere-FH05;0;0;48;254;302;0.0;739;0;0;0.0;0;0.0;303;100.33;-1;0
W04-C-Liege-FH18;0;0;177;1509;1686;0.0;2543;0;0;0.0;0;0.0;0;0.0;0;0
W04-C-Liege-FH20;0;0;344;1628;1972;0.0;2836;0;0;0.0;0;0.0;1;0.05;1971;0
W04-C-Liege-FH21;0;0;264;1178;1442;0.0;2493;0;0;0.0;0;0.0;0;0.0;0;0
W04-C-Liege-FH27;0;0;257;173;430;0.0;0;0;0;0.0;0;0.0;340;79.07;90;0
W06-I-A3_1180_Chaussée de Waterloo_715;1;0;2;1;3;50.0;34;1;1;100.0;1;50.0;2;66.67;1;1
rue vanderkindere 240;0;0;0;1;0;0.0;1;0;0;0.0;0;0.0;1;0.0;0;0
