Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH06;BL0606;2757712;Zeedijk-Albertstrand;543;;;74304;227269;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765275;Paul Parmentierlaan;206;;;74600,549;227250,17;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757713;Zeedijk-Albertstrand;544;;;74309;227269;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765277;Paul Parmentierlaan;209;;;74567,55;227162,17;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757714;Zeedijk-Albertstrand;545;;;74312;227275;MDU;;23;0;0;23;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765279;Paul Parmentierlaan;212;;;74605,549;227310,17;MDU;;12;0;0;12;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757715;Zeedijk-Albertstrand;546;;;74319;227283;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765281;Paul Parmentierlaan;213;;;74568,55;227176,17;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757718;Zeedijk-Albertstrand;549;;;74333;227293;MDU;;17;0;0;17;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765285;Paul Parmentierlaan;214;;;74605,549;227320,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757723;Zeedijk-Albertstrand;552;;;74373;227309;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765289;Paul Parmentierlaan;217;;;74569,55;227189,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757724;Zeedijk-Albertstrand;556;;;74373;227309;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765290;Paul Parmentierlaan;218;;;74606,549;227336,17;MDU;;0;3;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757725;Zeedijk-Albertstrand;557;;;74375;227319;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765291;Paul Parmentierlaan;219;;;74569,55;227195,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757730;Zeedijk-Albertstrand;562;;;74397;227329;MDU;;16;0;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765292;Paul Parmentierlaan;220;;;74607,549;227342,17;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757732;Zeedijk-Albertstrand;563;;;74402;227329;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765293;Paul Parmentierlaan;221;;;74570,55;227203,169;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757733;Zeedijk-Albertstrand;564;;;74409;227324;MDU;;18;0;0;18;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765294;Paul Parmentierlaan;222;;;74608,548;227350,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757737;Zeedijk-Albertstrand;566;;;74418;227329;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765295;Paul Parmentierlaan;223;;;74570,55;227211,169;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757741;Zeedijk-Albertstrand;570;;;74438;227338;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765296;Paul Parmentierlaan;224;;;74623,58;227357,41;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757748;Zeedijk-Albertstrand;574;;;74450;227344;MDU;;17;0;0;17;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765297;Paul Parmentierlaan;225;;;74571,55;227218,169;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757756;Zeedijk-Albertstrand;583;;;74450;227405;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765299;Paul Parmentierlaan;228;;;74609,548;227372,17;MDU;;2;1;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757757;Zeedijk-Albertstrand;584;;;74450;227405;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765301;Paul Parmentierlaan;231;;;74572,549;227237,169;MDU;;7;0;0;7;Y;NA;4;Beschermd Erfgoed;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757759;Zeedijk-Albertstrand;585;;;74441;227413;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765302;Paul Parmentierlaan;232;;;74610,548;227387,17;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757760;Zeedijk-Albertstrand;586;;;74446;227413;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765306;Paul Parmentierlaan;234;;;74610,548;227393,17;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757762;Zeedijk-Albertstrand;587;;;74445;227424;MDU;;17;0;0;17;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765308;Paul Parmentierlaan;235;;;74574,549;227253,169;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2757983;Bayauxlaan;32;;;74544;227141;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765310;Paul Parmentierlaan;237;;;74574,549;227261,169;MDU;;79;0;0;79;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2758594;Canadasquare;9;;;74115;227121;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765313;Paul Parmentierlaan;240;;;74615,61;227443,56;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2759391;Sylvain Dupuisstraat;13;;;74494;227399;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765316;Paul Parmentierlaan;242;;;74616,548;227457,17;MDU;;48;0;0;48;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2759396;Sylvain Dupuisstraat;16;;;74515;227386;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765318;Paul Parmentierlaan;243;;;74577,549;227309,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2759407;Sylvain Dupuisstraat;28;;;74546;227401;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765322;Paul Parmentierlaan;245;;;74579,049;227318,549;MDU;;13;0;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2759409;Sylvain Dupuisstraat;30;;;74553;227404;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765331;Paul Parmentierlaan;250;;;74619,547;227500,169;MDU;;4;0;0;4;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2759415;Sylvain Dupuisstraat;35;;;74561;227428;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765332;Paul Parmentierlaan;251;;;74579,549;227343,169;MDU;;12;0;0;12;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2759416;Sylvain Dupuisstraat;36;;;74563;227407;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765333;Paul Parmentierlaan;252;;;74619,547;227508,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2759434;Sylvain Dupuisstraat;58;;;74653;227399;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765335;Paul Parmentierlaan;254;;;74620,547;227515,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2761408;Zeedijk-Knokke;609;;;74495;227488;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765336;Paul Parmentierlaan;255;;;74580,549;227353,169;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2761412;Zeedijk-Knokke;612;;;74502;227492;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765338;Paul Parmentierlaan;256;;;74620,547;227522,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2761418;Zeedijk-Knokke;620;;;74537;227510;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765340;Paul Parmentierlaan;258;;;74620,547;227529,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2761871;Koningslaan;101;;;74485;227176;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765342;Paul Parmentierlaan;259;;;74571,31;227367,66;MDU;;5;1;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2761891;Koningslaan;121;;;74491;227237;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765352;Paul Parmentierlaan;261;;;74582,548;227373,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2761910;Koningslaan;147;;;74464;227344;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765353;Paul Parmentierlaan;263;;;74583,548;227380,169;MDU;;22;0;0;22;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2761916;Koningslaan;151;;;74464;227344;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2765355;Paul Parmentierlaan;265;;;74583,548;227386,169;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2761953;Koningslaan;204;;;74513;227186;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765356;Paul Parmentierlaan;273;;;74580,938;227447,509;MDU;;12;1;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;2761986;Koningslaan;250;;;74482;227358;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765360;Paul Parmentierlaan;277;;;74588,548;227455,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762847;Leopoldlaan;101;;;74663;227337;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765366;Paul Parmentierlaan;285;;;74583,451;227483,625;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762858;Leopoldlaan;111;;;74672;227369;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765371;Paul Parmentierlaan;287;;;74591,547;227488,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0610;2762886;Leopoldlaan;135;;;74692;227521;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765372;Paul Parmentierlaan;289;;;74592,547;227495,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2764189;Jozef Nellenslaan;153;;;73973;227022;MDU;;32;0;0;32;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765377;Paul Parmentierlaan;291;;;74592,06;227501,28;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764238;Jozef Nellenslaan;211;;;74413;227270;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2765380;Paul Parmentierlaan;295;;;74596,801;227511,903;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764239;Jozef Nellenslaan;213;;;74418;227270;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0607;2765856;Rubensplein;1;;;74404,834;227386,918;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2765319;Paul Parmentierlaan;244;;;74617;227458;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2766723;Sterrenlaan;6;;;73948,618;227040,861;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766747;Sterrenlaan;23;;;73905;227040;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766730;Sterrenlaan;9;;;73922,021;227019,912;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317821;Zeedijk-Albertstrand;489;;;73829;227034;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2766733;Sterrenlaan;10;;;73933,134;227054,257;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317822;Zeedijk-Albertstrand;487;;;73822;227031;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766736;Sterrenlaan;13;;;73913,087;227027,782;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317823;Zeedijk-Albertstrand;485;;;73806;227023;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2766738;Sterrenlaan;14;;;73914,048;227072,983;MDU;;24;0;0;24;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317824;Zeedijk-Albertstrand;484;;;73796;227020;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766742;Sterrenlaan;15;;;73910,871;227029,59;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317826;Zeedijk-Albertstrand;492;;;73842;227041;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766744;Sterrenlaan;17;;;73905,412;227034,134;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317827;Zeedijk-Albertstrand;493;;;73848;227044;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766746;Sterrenlaan;21;;;73901,229;227038,241;MDU;;6;1;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317828;Zeedijk-Albertstrand;491;;;73834;227038;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2766748;Sterrenlaan;25;;;73896,762;227041,824;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317829;Zeedijk-Albertstrand;498;;;73881;227059;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2767920;Zonnelaan;9;;;74164,585;227134,859;MDU;;15;1;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;318435;Zeedijk-Albertstrand;499;;;73908;227080;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2767925;Zonnelaan;13;;;74166,086;227149,281;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;318436;Zeedijk-Albertstrand;505;;;73958;227096;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767928;Zonnelaan;18;;;74200,79;227152,033;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;318437;Zeedijk-Albertstrand;500;;;73930;227083;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767930;Zonnelaan;20;;;74200,79;227160,033;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0603;318438;Zeedijk-Albertstrand;508;;;74029;227136;SDU;;1;0;0;1;N;MON;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767931;Zonnelaan;22;;;74200,853;227167,55;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;318440;Canadasquare;19;;;73997;227053;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767932;Zonnelaan;24;;;74200,665;227175,664;MDU;;23;0;0;23;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;318441;Canadasquare;17;;;73985;227068;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767934;Zonnelaan;30;;;74202,74;227199,816;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;319255;Jozef Nellenslaan;161;;;74142;227089;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2767935;Zonnelaan;32;;;74204,109;227203,424;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;319259;Zeedijk-Albertstrand;524;;;74165;227202;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2768367;Zwaluwenlaan;4;;;74270,656;227237,403;MDU;;13;0;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;319260;Zeedijk-Albertstrand;516;;;74139;227181;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2768369;Zwaluwenlaan;5;;;74279,861;227183,613;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;319261;Zeedijk-Albertstrand;511;;;74103;227163;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2768371;Zwaluwenlaan;6;;;74276,623;227231,789;MDU;;7;1;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;319305;Zeedijk-Albertstrand;531;;;74235;227231;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2768373;Zwaluwenlaan;7;;;74274,977;227187,978;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;319363;Zeedijk-Albertstrand;533;;;74263;227248;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2768374;Zwaluwenlaan;8;;;74282,671;227224,117;MDU;;30;0;0;30;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;319364;Zeedijk-Albertstrand;535;;;74273;227252;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2768375;Zwaluwenlaan;9;;;74266,421;227197,956;MDU;;42;0;0;42;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;320298;Koningslaan;127;;;74492;227264;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2768381;Zwaluwenlaan;10;;;74294,186;227213,878;MDU;;13;0;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;320299;Koningslaan;133;;;74479;227279;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2768382;Zwaluwenlaan;11;;;74259,933;227204,338;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;320322;Koningslaan;230;A;;74519;227270;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;317798;Sterrenlaan;7;;;73926,602;227016,166;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;320335;Bayauxlaan;14;;;74637;227131;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
